"NAME","DATE","SNOW"
"NY CITY CENTRAL PARK, NY US","2014-03-03",0.1
"NY CITY CENTRAL PARK, NY US","2014-11-26",0.2
"NY CITY CENTRAL PARK, NY US","2014-12-10",1
"NY CITY CENTRAL PARK, NY US","2015-01-06",1
"NY CITY CENTRAL PARK, NY US","2015-01-09",1.5
"NY CITY CENTRAL PARK, NY US","2015-01-24",3.6
"NY CITY CENTRAL PARK, NY US","2015-01-26",5.5
"NY CITY CENTRAL PARK, NY US","2015-01-27",4.3
"NY CITY CENTRAL PARK, NY US","2015-01-30",1
"NY CITY CENTRAL PARK, NY US","2015-02-01",0.3
"NY CITY CENTRAL PARK, NY US","2015-02-02",5
"NY CITY CENTRAL PARK, NY US","2015-02-10",0.1
"NY CITY CENTRAL PARK, NY US","2015-02-14",0.9
"NY CITY CENTRAL PARK, NY US","2015-02-17",3.3
"NY CITY CENTRAL PARK, NY US","2015-02-21",3
"NY CITY CENTRAL PARK, NY US","2015-02-22",1
"NY CITY CENTRAL PARK, NY US","2015-03-01",4.8
"NY CITY CENTRAL PARK, NY US","2015-03-03",1.8
"NY CITY CENTRAL PARK, NY US","2015-03-05",7.5
"NY CITY CENTRAL PARK, NY US","2015-03-20",4.5
"NY CITY CENTRAL PARK, NY US","2016-01-17",0.4
"NY CITY CENTRAL PARK, NY US","2016-01-22",0.2
"NY CITY CENTRAL PARK, NY US","2016-01-23",27.3
"NY CITY CENTRAL PARK, NY US","2016-02-05",2.5
"NY CITY CENTRAL PARK, NY US","2016-02-08",0.1
"NY CITY CENTRAL PARK, NY US","2016-02-15",1.4
"NY CITY CENTRAL PARK, NY US","2016-03-04",0.4
"NY CITY CENTRAL PARK, NY US","2016-03-21",0.5
"NY CITY CENTRAL PARK, NY US","2016-12-11",0.4
"NY CITY CENTRAL PARK, NY US","2016-12-17",2.8
"NY CITY CENTRAL PARK, NY US","2017-01-06",1.2
"NY CITY CENTRAL PARK, NY US","2017-01-07",5.1
"NY CITY CENTRAL PARK, NY US","2017-01-14",0.6
